location_id,name,address
165,拠点165,北海道釧路市7丁目12-8
166,拠点166,北海道札幌市西区2丁目17-8
167,拠点167,北海道江別市8丁目12-1
168,拠点168,北海道札幌市北区8丁目19-2
169,拠点169,北海道札幌市豊平区1丁目5-20
170,拠点170,北海道札幌市西区1丁目6-12
171,拠点171,北海道札幌市白石区1丁目9-6
172,拠点172,北海道小樽市6丁目2-4
173,拠点173,北海道札幌市白石区2丁目17-10
174,拠点174,北海道苫小牧市4丁目29-15
175,拠点175,北海道旭川市3丁目30-16
176,拠点176,北海道小樽市7丁目18-8
177,拠点177,北海道札幌市北区8丁目2-8
178,拠点178,北海道帯広市10丁目15-3
179,拠点179,北海道札幌市西区2丁目3-6
180,拠点180,北海道小樽市3丁目5-5
181,拠点181,北海道苫小牧市2丁目6-5
182,拠点182,北海道旭川市7丁目4-12
183,拠点183,北海道帯広市9丁目20-2
184,拠点184,北海道帯広市6丁目9-11
185,拠点185,北海道帯広市4丁目13-17
186,拠点186,北海道函館市4丁目3-9
187,拠点187,北海道小樽市9丁目4-3
188,拠点188,北海道札幌市豊平区5丁目20-8
189,拠点189,北海道札幌市東区7丁目29-19
190,拠点190,北海道釧路市7丁目5-9
191,拠点191,北海道江別市2丁目24-1
192,拠点192,北海道帯広市7丁目18-16
193,拠点193,北海道札幌市中央区3丁目19-16
194,拠点194,北海道釧路市10丁目30-14
195,拠点195,北海道旭川市10丁目7-13
196,拠点196,北海道釧路市9丁目26-15
197,拠点197,北海道釧路市9丁目1-2
198,拠点198,北海道札幌市南区3丁目22-16
199,拠点199,北海道札幌市南区1丁目21-14
200,拠点200,北海道札幌市中央区8丁目14-11
